"Date,Price"		
"28/04/2016,""£114,000 """		
","		
","		
","		
"26/02/2016,""£92,500 """		
","		
","		
","		
"30/03/2016,""£127,500 """		
","		
","		
","		
"19/05/2016,""£106,000 """		
","		
","		
","		
"26/05/2016,""£115,000 """		
","		
","		
","		
"28/06/2016,""£110,000 """		
","		
","		
","		
"27/05/2016,""£105,400 """		
","		
","		
","		
"01/04/2016,""£90,100 """		
","		
","		
","		
"07/06/2016,""£111,000 """		
","		
","		
","		
"02/06/2016,""£217,000 """		
","		
","		
"13/01/2016,""£110,000 """		
","		
","		
"01/04/2016,""£109,000 """		
","		
","		
"07/04/2016,""£170,000 """		
","		
","		
"17/03/2016,""£115,000 """		
","		
","		
","		
"12/02/2016,""£15,000 """		
","		
","		
","		
"05/04/2016,""£100,000 """		
","		
","		
","		
"05/01/2016,""£517,630 """		
","		
","		
"27/06/2016,""£165,000 """		
","		
","		
","		
"22/02/2016,""£130,500 """		
","		
","		
"10/02/2016,""£75,000 """		
","		
","		
","		
"15/06/2016,""£95,000 """		
","		
","		
","		
"16/06/2016,""£100,000 """		
","		
","		
","		
"06/04/2016,""£135,000 """		
","		
","		
","		
"16/02/2016,""£130,000 """		
","		
","		
","		
"21/04/2016,""£102,500 """		
","		
","		
"06/04/2016,""£72,500 """		
","		
","		
","		
"07/01/2016,""£110,005 """		
","		
","		
","		
"20/04/2016,""£96,750 """		
","		
","		
"14/06/2016,""£32,000 """		
","		
","		
"28/04/2016,""£110,000 """		
","		
","		
","		
"12/04/2016,""£62,000 """		
","		
","		
","		
"11/05/2016,""£162,500 """		
","		
","		
"11/05/2016,""£162,500 """		
","		
","		
"04/02/2016,""£100,000 """		
","		
","		
","		
"21/01/2016,""£96,750 """		
","		
","		
","		
"29/06/2016,""£135,000 """		
","		
","		
"31/03/2016,""£63,600 """		
","		
","		
","		
"22/01/2016,""£62,000 """		
","		
","		
","		
"15/06/2016,""£120,000 """		
","		
","		
","		
"05/01/2016,""£517,630 """		
","		
"20/04/2010,""£55,000 """		
","		
","		
","		
"16/06/2010,""£49,500.00 """		
","		
","		
","		
"31/03/2010,""£77,000.00 """		
","		
","		
","		
"25/03/2010,""£80,000.00 """		
","		
","		
"14/01/2010,""£147,500 """		
","		
","		
","		
"10/05/2010,""£85,000.00 """		
","		
","		
"01/04/2010,""£137,500.00 """		
","		
","		
"12/04/2010,""£103,500.00 """		
","		
","		
","		
"09/06/2010,""£85,000 """		
","		
","		
"09/06/2010,""£85,000 """		
","		
","		
"20/04/2010,""£127,500.00 """		
","		
","		
","		
"05/03/2010,""£240,000.00 """		
","		
","		
"11/01/2010,""£78,000.00 """		
","		
","		
","		
"19/03/2010,""£57,600.00 """		
","		
","		
","		
"05/03/2010,""£240,000.00 """		
","		
","		
"20/01/2010,""£126,000 """		
","		
","		
","		
"08/01/2010,""£96,000.00 """		
","		
","		
","		
"06/01/2010,""£82,000.00 """		
","		
","		
","		
"11/01/2010,""£125,000 """		
","		
","		
","		
"25/06/2010,""£107,000.00 """		
","		
","		
","		
"04/06/2010,""£103,000.00 """		
","		
","		
","		
"04/06/2010,""£101,000.00 """		
","		
","		
","		
"13/05/2010,""£102,000.00 """		
","		
","		
","		
"07/05/2010,""£102,000.00 """		
","		
","		
","		
"09/06/2010,""£74,996.25 """		
","		
","		
","		
"08/06/2010,""£99,000.00 """		
","		
","		
","		
"09/03/2011,""£100,000.00 """		
","		
","		
","		
"28/04/2011,""£1,050,000.00 """		
","		
","		
